"id";"name";"d1";"d2";"d3";"d4"
2606;"TrustCo Bank Corp NY (TRST)";"43145";"42601";"42238";"44193"
2607;"NexPoint Residential Trust, Inc. (NXRT)";"53374";"21882";"-10832";"-15601"
2608;"Univest Corporation of Pennsylvania (UVSP)";"44094";"19505";"27268";"22231"
2609;"SunCoke Energy, Inc. (SXC)";"122400";"14400";"-22000";"-126100"
2610;"Oritani Financial Corp. (ORIT)";"42894";"49144";"52295";"46902"
2611;"HomeStreet, Inc. (HMST)";"68946";"58151";"41319";"22259"
2612;"Dicerna Pharmaceuticals, Inc. (DRNA)";"-60048";"-59513";"-62839";"-47939"
2613;"MacroGenics, Inc. (MGNX)";"-19626";"-58528";"-20140";"-38313"
2614;"Tristate Capital Holdings, Inc. (TSC)";"37988";"28641";"22488";"15928"
2615;"CSW Industrials, Inc. (CSWI)";"-11882";"11071";"25471";"29705"
2616;"H&E Equipment Services, Inc. (HEES)";"109658";"37172";"44305";"55139"
2617;"Schnitzer Steel Industries, Inc. (SCHN)";"44511";"-19409";"-197009";"5924"
2618;"Federal Agricultural Mortgage Corporation (AGM)";"84482";"77334";"68700";"48090"
2619;"Unitil Corporation (UTL)";"29000";"27100";"26300";"24700"
2620;"DHT Holdings, Inc. (DHT)";"6602";"9260";"105302";"12887"
2621;"Dean Foods Company (DF)";"61588";"119929";"-8508";"-20296"
2622;"Stoneridge, Inc. (SRI)";"45179";"77461";"22774";"-47108"
2623;"Fiesta Restaurant Group, Inc. (FRGI)";"-36232";"16712";"38536";"36176"
2624;"Virtus Investment Partners, Inc. (VRTS)";"37012";"48502";"35106";"97700"
2625;"McEwen Mining Inc. (MUX)";"-10634";"21055";"-20450";"-311943"
2626;"SP Plus Corporation (SP)";"41200";"23100";"17400";"23100"
2627;"Echo Global Logistics, Inc. (ECHO)";"12623.229";"1589.678";"7845.674";"16787.558"
2628;"iStar Inc. (STAR)";"175682";"95306";"-2435";"16469"
2629;"Columbus McKinnon Corporation (CMCO)";"22065";"8984";"19579";"27190"
2630;"Ituran Location and Control Ltd. (ITRN)";"43794";"32139";"24971";"30429"
2631;"Marine Products Corporation (MPX)";"19300";"16745";"14306";"8914"
2632;"Century Aluminum Company (CENX)";"48580";"-252415";"-59310";"126474"
2633;"Hi-Crush Partners LP (HCLP)";"82534";"-84519";"27722";"122965"
2634;"Global Brass and Copper Holdings, Inc. (BRSS)";"50900";"32200";"35600";"31700"
2635;"Mesa Laboratories, Inc. (MLAB)";"-2962";"11183";"11169";"9583"
2636;"FutureFuel Corp. (FF)";"23511";"56341";"46421";"53200"
2637;"GreenSky, Inc. (GSKY)";"138668";"124464";"93819";"68109"
2638;"QAD Inc. (QADB)";"-9065";"-15450";"8912";"12946"
2639;"Calamos Convertible Opportunities and Income Fund (CHI)";"123412.539";"13214.45";"-43988.927";"94862.493"
2640;"Forrester Research, Inc. (FORR)";"15140";"17651";"11996";"10865"
2641;"Sandstorm Gold Ltd. (SAND)";"10537";"25254";"-43056";"11515"
2642;"Precision Drilling Corporation (PDS)";"-132036";"-155555";"-363436";"33152"
2643;"Stock Yards Bancorp, Inc. (SYBT)";"38043";"41027";"37187";"34822"
2644;"Green Plains Inc. (GPRE)";"61061";"10663";"7064";"159504"
2645;"Dynavax Technologies Corporation (DVAX)";"-95154";"-112444";"-106794";"-90722"
2646;"Meta Financial Group, Inc. (CASH)";"44917";"33220";"18055";"15713"
2647;"Cellcom Israel Ltd. (CEL)";"112000";"148000";"95000";"351000"
2648;"Monarch Casino & Resort, Inc. (MCRI)";"25538";"24574";"20659";"14185"
2649;"Gladstone Commercial Corporation (GOODM)";"5937";"3958";"3596";"-5902"
2650;"Vista Outdoor Inc. (VSTO)";"-60232";"-274454";"147037";"79528"
2651;"BlackRock Enhanced Global Dividend Trust (BOE)";"146488.887";"12536.495";"10509.662";"-31293.696"
2652;"Cambium Learning Group, Inc. (ABCD)";"45055";"10430";"-1325";"-9955"
2653;"Chaparral Energy, Inc. (CHAP)";"923057";"-415720";"-1333844";"209293"
2654;"Hersha Hospitality Trust (HT)";"99868";"116980";"41796";"67255"
2655;"Encore Capital Group, Inc. (ECPG)";"83228";"76570";"45135";"103726"
2656;"Customers Bancorp, Inc. (CUBI)";"78837";"78702";"58583";"43214"
2657;"BioCryst Pharmaceuticals, Inc. (BCRX)";"-65782";"-55144";"-43019";"-45189"
2658;"Control4 Corporation (CTRL)";"15979";"12954";"-1652";"8156"
2659;"OneSpan Inc. (OSPN)";"-22399";"10514";"42151";"33484"
2660;"Hanger, Inc. (HNGR)";"-104671";"-106471";"-327091";"-18966"
2661;"Meridian Bioscience, Inc. (VIVO)";"21557";"32229";"35540";"34743"
2662;"Changyou.com Limited (CYOU)";"108834";"144947";"212784";"-3381"
2663;"1-800-FLOWERS.COM, Inc. (FLWS)";"40791";"44041";"36875";"20287"
2664;"Gladstone Commercial Corporation (GOODP)";"5937";"3958";"3596";"-5902"
2665;"BlackRock Enhanced Capital and Income Fund, Inc. (CII)";"137079.845";"49336.382";"28058.241";"106312.464"
2666;"Peoples Bancorp Inc. (PEBO)";"38471";"31157";"10941";"16684"
2667;"Tidewater Inc. (TDW)";"-2248232.771";"-660118";"-160183";"-65190"
2668;"RE/MAX Holdings, Inc. (RMAX)";"12815";"22396";"16412";"13436"
2669;"ORBCOMM Inc. (ORBC)";"-61284";"-23511";"-13251";"-4684"
2670;"Arlington Asset Investment Corp. (AIW)";"17435";"-41347";"-69403";"7753"
2671;"KNOT Offshore Partners LP (KNOP)";"68064";"61102";"40442";"27392"
2672;"Newpark Resources, Inc. (NR)";"-6148";"-40712";"-90828";"102278"
2673;"CalAmp Corp. (CAMP)";"16617";"-7904";"16940";"16508"
2674;"Central Securities Corp. (CET)";"169206.551";"112635.173";"-17040.738";"30126.82"
2675;"Fate Therapeutics, Inc. (FATE)";"-42952";"-33462";"-29992";"-25883"
2676;"Pennsylvania Real Estate Investment Trust (PEI)";"-29344";"-11348";"-116683";"-13830"
2677;"Gladstone Capital Corporation - (GLADN)";"17180";"11367";"8484";"11233"
2678;"BP Prudhoe Bay Royalty Trust (BPT)";"77039";"43621";"125461";"226763"
2679;"PIMCO Corporate & Income Strategy Fund (PCN)";"37542";"110052";"15340";"26649.327"
2680;"Boot Barn Holdings, Inc. (BOOT)";"28879";"14197";"9868";"13726"
2681;"Northfield Bancorp, Inc. (Staten Island, NY) (NFBK)";"24768";"26130";"19531";"20266"
2682;"SpartanNash Company (SPTN)";"-52845";"56828";"62710";"58596"
2683;"Global Partners LP (GLP)";"58358";"-198076";"35896";"108728"
2684;"REV Group, Inc. (REVG)";"31371";"30193";"22877";"1488"
2685;"Horizon Bancorp, Inc. (HBNC)";"33117";"23912";"20549";"18101"
2686;"SunCoke Energy Partners, L.P. (SXCP)";"-25200";"95500";"77400";"53600"
2687;"Comtech Telecommunications Corp. (CMTL)";"29769";"15827";"-7738";"23245"
2688;"SunOpta Inc. (STKL)";"-135320";"-51188";"-22471";"13101"
2689;"Opus Bank (OPB)";"47643";"11454";"59943";"43707"
2690;"eHealth, Inc. (EHTH)";"-25412";"-4882";"-4763";"-16205"
2691;"NexGen Energy Ltd. (NXE)";"-56038.329";"-16893.468";"-4647.317";"-8373.3"
2692;"Photronics, Inc. (PLAB)";"13130";"46200";"44625";"25996"
2693;"Preferred Apartment Communities, Inc. (APTS)";"27680.996";"-9533.123";"-2400.668";"2093.489"
2694;"Urstadt Biddle Properties Inc. (UBP)";"52933";"33716";"49264";"65151"
2695;"ConnectOne Bancorp, Inc. (CNOB)";"43220";"31082";"41311";"18565"
2696;"Senseonics Holdings, Inc. (SENS)";"-59101";"-43930";"-29877";"-18885"
2697;"Sohu.com Limited (SOHU)";"-554526";"-224021";"-49598";"-166657"
2698;"Hanmi Financial Corporation (HAFC)";"54660";"56489";"53823";"49761"
2699;"M/I Homes, Inc. (MHO)";"72081";"56609";"51763";"50789"
2700;"Investors Real Estate Trust (IRET)";"116788";"43347";"72006";"24087"
2701;"Novavax, Inc. (NVAX)";"-183769";"-279966";"-156937";"-82947"
2702;"Virtus Investment Partners, Inc. (VRTSP)";"37012";"48502";"35106";"97700"
2703;"National CineMedia, Inc. (NCMI)";"2500";"20400";"11300";"13400"
2704;"Banco Latinoamericano de Comercio Exterior, S.A (BLX)";"81999";"87045";"103984";"102366"
2705;"Teekay Corporation (TK)";"-163276";"-123182";"82151";"-54757"
2706;"QuinStreet, Inc. (QNST)";"15930";"-12208";"-19420";"-20008"
2707;"GMS Inc. (GMS)";"62971";"48886";"12564";"-11697"
2708;"Heritage Commerce Corp (HTBK)";"23828";"27381";"16497";"13427"
2709;"Oxford Lane Capital Corp. (OXLCO)";"38005.588";"105201.826";"-85779.331";"3331.351"
2710;"Shoe Carnival, Inc. (SCVL)";"18933";"23517";"28767";"25527"
2711;"Oaktree Specialty Lending Corpo (OCSL)";"-196969";"-66556";"15395";"112532"
2712;"Fidelity Southern Corporation (LION)";"39796";"38766";"39135";"30036"
2713;"General American Investors Company, Inc. (GAM)";"170734.397";"84421.509";"-28409.931";"83848.682"
2714;"ADTRAN, Inc. (ADTN)";"23840";"35229";"18646";"44620"
2715;"Nuveen Dow 30 Dynamic Overwrite Fund (DIAX)";"128649.546";"65249.235";"690.135";"16434.472"
2716;"Ballard Power Systems Inc. (BLDP)";"-8048";"-21112";"-5815";"-27868"
2717;"Karyopharm Therapeutics Inc. (KPTI)";"-128984";"-109577";"-118181";"-75777"
2718;"Voya Global Equity Dividend and Premium Opportunity Fund (IGD)";"72879.757";"132820.284";"-85907.527";"17636.806"
2719;"Speedway Motorsports, Inc. (TRK)";"148245";"39545";"-34363";"31147"
2720;"International Seaways, Inc. (INSW)";"-106088";"-18223";"173170";"-119099"
2721;"Express, Inc. (EXPR)";"19366";"57417";"116513";"68325"
2722;"Sanofi CONTGNT VAL RT (GCVRZ)";"8434000";"4709000";"4287000";"4390000"
2723;"Transmontaigne Partners L.P. (TLP)";"35788";"34766";"34183";"25296"
2724;"Sierra Wireless, Inc. (SWIR)";"4135";"15385";"-2674";"-16853"
2725;"Eros International Plc (EROS)";"-22575";"3805";"3797";"40344"
2726;"Resolute Energy Corporation (REN)";"-1233";"-161722";"-742279";"-21850"
2727;"Primo Water Corporation (PRMW)";"-6359";"-5946";"1857";"-13467"
2728;"Century Communities, Inc. (CCS)";"50295";"49540";"39890";"20022"
2729;"CIRCOR International, Inc. (CIR)";"11789";"10101";"9863";"50386"
2730;"Midland States Bancorp, Inc. (MSBI)";"16056";"31542";"24324";"10816"
2731;"Ingles Markets, Incorporated (IMKTA)";"53873.58";"54189.466";"59353.123";"51426.454"
2732;"Flushing Financial Corporation (FFIC)";"41121";"64916";"46209";"44239"
2733;"American Renal Associates Holdings, Inc. (ARA)";"4857";"-385";"18845";"16197"
2734;"Health Insurance Innovations, Inc. (HIIQ)";"17885";"4513";"601";"-339"
2735;"Navigator Holdings Ltd. (NVGS)";"5310";"44638";"98094";"87737"
2736;"NII Holdings, Inc. (NIHD)";"-301014";"-1553873";"1459632";"-1957698"
2737;"CBL & Associates Properties, Inc (CBL)";"120940";"172882";"103371";"219150"
2738;"MAG Silver Corp. (MAG)";"-6497";"-55846";"-16829";"-16133.203"
2739;"Blue Hills Bancorp, Inc. (BHBK)";"16489";"8653";"7227";"-183"
2740;"Medallion Financial Corp. (MFINL)";"278";"23515";"29376";"28692"
2741;"Capstead Mortgage Corporation (CMO)";"79589";"82873";"108325";"140820"
2742;"Tredegar Corporation (TG)";"38251";"24466";"-32135";"36879"
2743;"Xperi Corporation (XPER)";"-56558";"56089";"117016";"170454"
2744;"Textainer Group Holdings Limited (TGH)";"19365";"-52483";"108408";"190555"
2745;"Cara Therapeutics, Inc. (CARA)";"-58125";"-57280";"-24690";"-17745"
2746;"Rayonier Advanced Materials Inc. (RYAM)";"324964";"73286";"55257";"31655"
2747;"The Manitowoc Company, Inc. (MTW)";"9400";"-375800";"65500";"143900"
2748;"Carriage Services, Inc. (CSV)";"37193";"19581";"20853";"15838"
2749;"Dime Community Bancshares, Inc. (DCOM)";"51882";"72514";"44772";"44246"
2750;"Zumiez Inc. (ZUMZ)";"26802";"25904";"28785";"43192"
2751;"Lindblad Expeditions Holdings, Inc. (LIND)";"-8661";"4864";"19742";"22245"
2752;"Winmark Corporation (WINA)";"24565.1";"22217.6";"21799.7";"20066.5"
2753;"Diamond Hill Investment Group, Inc. (DHIL)";"49988.957";"46051.923";"37074.497";"31580.931"
2754;"Fortuna Silver Mines Inc. (FSM)";"66305";"17858";"-10608";"15602"
2755;"Qiwi plc (QIWI)";"3114000";"2474000";"5187000";"5024000"
2756;"Nuveen California AMT-Free Quality Municipal Income Fund (NKX)";"32587.275";"2286.03";"52124.558";"104500.63"
2757;"Bridge Bancorp, Inc. (BDGE)";"20539";"35491";"21111";"13763"
2758;"China Yuchai International Limited (CYD)";"953922";"515737";"341108";"730280"
2759;"Omega Flex, Inc. (OFLX)";"15662";"14377";"15788";"13462"
2760;"Griffon Corporation (GFF)";"14912";"30010";"34289";"-177"
2761;"Boston Omaha Corporation (BOMN)";"-6467.91";"-3173.375";"-1047.423";"-66.778"
2762;"ANI Pharmaceuticals, Inc. (ANIP)";"-1076";"3934";"15375";"28747"
2763;"PetMed Express, Inc. (PETS)";"37283";"23819";"20567";"17453"
2764;"Modine Manufacturing Company (MOD)";"22200";"14200";"-1600";"21800"
2765;"HarborOne Bancorp, Inc. (HONE)";"10379";"5931";"5768";"2570"
2766;"Kimball International, Inc. (KBAL)";"34439";"37506";"21156";"20300"
2767;"The Hackett Group, Inc. (HCKT)";"27354";"21541";"13809";"9711"
2768;"Team, Inc. (TISI)";"-104161";"-12676";"15219.431";"40070"
2769;"Controladora Vuela Compañía de Aviación, S.A.B. de C.V. (VLRS)";"-594599";"3519489";"2463870";"605184"
2770;"MiMedx Group, Inc. (MDXG)";"11974";"29446";"6220";"-4112"
2771;"Epizyme, Inc. (EPZM)";"-134309";"-110212";"-132376";"-55005"
2772;"Oxford Lane Capital Corp. (OXLCM)";"38005.588";"105201.826";"-85779.331";"3331.351"
2773;"Western Asset High Income Opportunity Fund Inc. (HIO)";"61549.806";"45463.585";"-34950.415";"32561.052"
2774;"Ameresco, Inc. (AMRC)";"37491";"12032";"844";"10383"
2775;"Höegh LNG Partners LP (HMLP)";"48782";"41377";"41279";"1314"
2776;"Innophos Holdings, Inc. (IPHS)";"22445";"47971";"26346";"64461"
2777;"GAMCO Investors, Inc. (GBL)";"77809";"117121";"83412";"109390"
2778;"Cincinnati Bell Inc. (CBB)";"35100";"102100";"353700";"75600"
2779;"Bank of Marin Bancorp (BMRC)";"15976";"23134";"18441";"19771"
2780;"Tower International, Inc. (TOWR)";"47625";"38579";"194052";"21516"
2781;"Extreme Networks, Inc. (EXTR)";"-46792";"-1744";"-36363";"-71643"
2782;"Vivint Solar, Inc. (VSLR)";"209098";"17986";"13080";"-28883"
2783;"CrossAmerica Partners LP (CAPL)";"23158";"10704";"11441";"-6162"
2784;"Sprague Resources LP (SRLP)";"29497";"10166";"78348";"122814"
2785;"Luxfer Holdings PLC (LXFR)";"11500";"21900";"16100";"29200"
2786;"eXp World Holdings, Inc. (EXPI)";"-22130.965";"-7384.915";"-1938.901";"103.843"
2787;"First Community Bancshares, Inc. (FCBC)";"21485";"25126";"24540";"25490"
2788;"Ladenburg Thalmann Financial Services Inc. (LTS)";"7697";"-22269";"-11151";"33433"
2789;"Briggs & Stratton Corporation (BGG)";"-11320";"56650";"26561";"45687"
2790;"tronc, Inc. (TRNC)";"5535";"6537";"-2765";"42288"
2791;"RISE Education Cayman Ltd (REDU)";"-47974";"53923";"-26285";"-65172"
2792;"Overstock.com, Inc. (OSTK)";"-109878";"12522";"2446";"8854"
2793;"Nova Measuring Instruments Ltd. (NVMI)";"46459";"9644";"15725";"18652"
2794;"TransEnterix, Inc. (TRXC)";"-144796";"-119980";"-46948";"-37652"
2795;"DMC Global Inc. (BOOM)";"-18853";"-6505";"-23971";"2567"
2796;"BlackRock Enhanced International Dividend Trust (BGY)";"134660.631";"-16112.407";"-7723.57";"-119311.452"
2797;"Mechel PAO (MTL)";"11557000";"7126000";"-115163000";"-132704000"
2798;"Dorchester Minerals, L.P. (DMLP)";"37083";"20231";"12742";"43646"
2799;"INSYS Therapeutics, Inc. (INSY)";"-228015";"7590";"58053";"36054"
2800;"Ribbon Communications Inc. (RBBN)";"-35252";"-13932";"-31895";"-16855"
2801;"First Financial Corporation (THFF)";"29131";"38413";"30196";"33772"
2802;"Myers Industries, Inc. (MYE)";"-9889";"1057";"17762";"-8681"
2803;"First Mid-Illinois Bancshares, Inc. (FMBH)";"26684";"21840";"16512";"15461"
2804;"Costamare Inc. (CMRE)";"72876";"81702";"143764";"115087"
2805;"Eldorado Gold Corporation (EGO)";"-9935";"-344151";"-1540895";"102607"
2806;"John Hancock Preferred Income Fund III (HPS)";"29471.913";"78413.435";"54599.737";"70380.98"
2807;"Cohu, Inc. (COHU)";"32843";"3039";"250";"8708"
2808;"Heidrick & Struggles International, Inc. (HSII)";"-48635";"15413";"17132";"6797"
2809;"Landmark Infrastructure Partners LP (LMRKO)";"18769";"9811";"1205";"2530"
2810;"Koppers Holdings Inc. (KOP)";"29100";"29300";"-72000";"-32400"
2811;"Cresud Sociedad Anónima Comercial, Inmobiliaria, Financiera y Agropecuaria (CRESY)";"5392000";"1511000";"4803000";"1318000"
2812;"pdvWireless, Inc. (PDVW)";"-24568";"-39186";"-21828";"-14714"
2813;"Mistras Group, Inc. (MG)";"-2175";"16402.288";"24654";"33966.863"
2814;"Landmark Infrastructure Partners LP (LMRKP)";"18769";"9811";"1205";"2530"
2815;"CymaBay Therapeutics, Inc. (CBAY)";"-27557";"-26671";"-15529";"-31917"
2816;"Community Healthcare Trust Incorporated (CHCT)";"3510";"2721";"-1456";"7584.994"
2817;"Bonanza Creek Energy, Inc. (BCEI)";"-2360";"-198950";"-745547";"20283"
2818;"Gladstone Commercial Corporation (GOOD)";"5937";"3958";"3596";"-5902"
2819;"The India Fund, Inc. (IFN)";"237326.979";"-2631.262";"-26309.069";"232623.813"
2820;"GAMCO Global Gold, Natural Resources & Income Trust (GGN)";"55418.661";"129095.557";"-127017.54";"-173800.196"
2821;"FRONTEO, Inc. (FTEO)";"-725263";"-948067";"-417632";"218453"
2822;"Sapiens International Corporation N.V. (SPNS)";"352";"19336";"20016";"14463"
2823;"Matrix Service Company (MTRX)";"-11480";"-183";"28863";"17157"
2824;"Formula Systems (1985) Ltd. (FORTY)";"10352";"22445";"19829";"80833"
2825;"Tucows Inc. (TCX)";"22326.594";"16067.154";"11373.73";"6374.096"
2826;"Spectrum Brands Holdings, Inc. (SPB)";"106000";"-198800";"-556800";"-10300"
2827;"TimkenSteel Corporation (TMST)";"-43800";"-105500";"-45000";"46100"
2828;"EZCORP, Inc. (EZPW)";"31858";"-80744";"-89192";"-67717"
2829;"MYR Group Inc. (MYRG)";"21154";"21431";"27302";"36544"
2830;"First Defiance Financial Corp. (FDEF)";"32268";"28843";"26423";"24292"
2831;"LeMaitre Vascular, Inc. (LMAT)";"17177";"10590";"7758";"3915"
2832;"TechTarget, Inc. (TTGT)";"6803";"2419";"7186";"4081"
2833;"Flexion Therapeutics, Inc. (FLXN)";"-137481";"-71894";"-46315";"-27313.664"
2834;"B. Riley Financial, Inc. (RILYH)";"11556";"21526";"11805";"-5801"
2835;"The Bancorp, Inc. (TBBK)";"21673";"-96492";"13432";"57109"
2836;"Scorpio Tankers Inc. (STNG)";"-158240";"-24903";"217749";"52091"
2837;"NextDecade Corporation (NEXT)";"-35326";"-8439";"-7764";"-2888"
2838;"UMH Properties, Inc. (UMH)";"12668.034";"11534.559";"2144.205";"4237.803"
2839;"DXP Enterprises, Inc. (DXPE)";"16888";"7702";"-38536";"-45238"
2840;"Foresight Energy LP (FELP)";"-215233";"-178789";"-39454";"137567"
2841;"Pacific Biosciences of California, Inc. (PACB)";"-92189";"-74375";"-31696";"-66160"
2842;"Nuveen New Jersey Quality Municipal Income Fund (NXJ)";"36479.847";"-17476.781";"61635.853";"16535.02"
2843;"Caesarstone Ltd. (CSTE)";"26202";"74596";"77766";"78439"
2844;"Whitestone REIT (WSR)";"8334";"7931";"6749";"7586"
2845;"BlackRock MuniVest Fund, Inc. (MVF)";"-3429.648";"62119.275";"26507.27";"115712.734"
2846;"Independence Holding Company (IHC)";"42042";"123298";"29944";"16293"
2847;"Wells Fargo Advantage Funds - Wells Fargo Income Opportunities Fund (EAD)";"25228.368";"109457.032";"-26810.009";"37310.41"
2848;"John Hancock Preferred Income Fund (HPI)";"26436.828";"71430.048";"54995.468";"64395.778"
2849;"Eaton Vance Enhanced Equity Income Fund (EOI)";"75639.267";"47358.066";"-6245.016";"88139.682"
2850;"Independent Bank Corporation (IBCP)";"20475";"22766";"20017";"18021"
2851;"Gogo Inc. (GOGO)";"-171995";"-124505";"-107613";"-84538"
2852;"Access National Corporation (ANCX)";"16500";"16404";"15419";"13925"
2853;"Civitas Solutions, Inc. (CIVI)";"6331";"9187";"3072";"-22815"
2854;"Grupo Supervielle S.A. (SUPV)";"2437059";"1311304";"674109";"362920"
2855;"Care.com, Inc. (CRCM)";"10663";"7046";"-34995";"-80292"
2856;"Estre Ambiental, Inc. (ESTR)";"43793";"-360789";"-214952";"-122813"
2857;"Sabine Royalty Trust (SBR)";"34729.057";"27475.994";"45964.673";"58687.974"
2858;"Greenhill & Co., Inc. (GHL)";"-26651";"60762";"25598";"43388"
2859;"Western Asset High Income Fund II Inc. (HIX)";"15629.522";"116709.814";"-53841.786";"-6765.26"
2860;"ChemoCentryx, Inc. (CCXI)";"17859";"-39963";"-47305";"-46929"
2861;"Quanex Building Products Corporation (NX)";"18683";"-1859";"16093";"29234"
2862;"Landmark Infrastructure Partners LP (LMRKN)";"18769";"9811";"1205";"2530"
2863;"GlycoMimetics, Inc. (GLYC)";"-33281.068";"-31809.838";"-12769.498";"-11121.566"
2864;"BBX Capital Corporation (BBX)";"82195";"28362";"122474";"13850"
2865;"Peapack-Gladstone Financial Corporation (PGC)";"36497";"26477";"19972";"14890"
2866;"Lydall, Inc. (LDL)";"49317";"37187";"46259";"21847"
2867;"Ethan Allen Interiors Inc. (ETH)";"36371";"36194";"56637";"37142"
2868;"Resources Connection, Inc. (RECN)";"18826";"18651";"30443";"27508"
2869;"Heritage-Crystal Clean, Inc (HCCI)";"28123";"5842";"1250";"-7008"
2870;"Axcelis Technologies, Inc. (ACLS)";"126959";"11001";"14678";"-11266"
2871;"Star Group, L.P. (SGU)";"26744";"44682";"37344";"35881"
2872;"Cornerstone Strategic Value Fund, Inc. (CLM)";"99043.174";"31480.357";"-22854.453";"19490.974"
2873;"CEVA, Inc. (CEVA)";"17028";"13100";"6267";"-819"
2874;"Tilly's, Inc. (TLYS)";"14700";"11410";"7541";"14075"
2875;"Electro Scientific Industries, Inc. (ESIO)";"116223";"-37409";"-12257";"-43811"
2876;"Mercantile Bank Corporation (MBWM)";"31274";"31913";"27020";"17331"
2877;"Hemisphere Media Group, Inc. (HMTV)";"-13436";"18000";"13739";"10557"
2878;"Five Point Holdings, LLC (FPH)";"73235";"-33266";"-2685";"16496"
2879;"Veritiv Corporation (VRTV)";"-13300";"21000";"26700";"-19600"
2880;"Ashford Hospitality Trust, Inc. (AHT)";"-67008";"-46285";"270939";"-31401"
2881;"Ennis, Inc. (EBF)";"32905";"1780";"35736";"-44533"
2882;"American Public Education, Inc. (APEI)";"21121";"24155";"32414";"40877"
2883;"Tribune Publishing Company (TPCO)";"5535";"6537";"-2765";"42288"
2884;"Insteel Industries, Inc. (IIIN)";"36266";"22548";"37245";"21710"
2885;"Global Indemnity Limited (GBLI)";"-9551";"49868";"41469";"62856"
2886;"Gilat Satellite Networks Ltd. (GILT)";"6801";"-5340";"-52334";"-1496"
2887;"Nicolet Bankshares, Inc. (NCBS)";"33150";"18462";"11428";"9949"
2888;"EMC Insurance Group Inc. (EMCI)";"39238";"46203";"50162";"29992"
2889;"Halcón Resources Corporation (HK)";"535686";"-467235";"-1922621";"315956"
2890;"Arrow Financial Corporation (AROW)";"29326";"26534";"24662";"23360"
2891;"QCR Holdings, Inc. (QCRH)";"35706.507";"27686.787";"16927.881";"14952.537"
2892;"Front Yard Residential Corporation (RESI)";"-185454";"-228028";"-46005";"188853"
2893;"Antares Pharma, Inc. (ATRS)";"-16743";"-24339";"-20659";"-35151.715"
2894;"Lands' End, Inc. (LE)";"28195";"-109782";"-19548";"73799"
2895;"Franklin Financial Network, Inc. (FSB)";"28083";"28057";"16080";"8414"
2896;"The First of Long Island Corporation (FLIC)";"35122";"30880";"25890";"23014"
2897;"On Deck Capital, Inc. (ONDK)";"-11534";"-82958";"-1273";"-18708"
2898;"Tejon Ranch Co. (TRC)";"-1555";"558";"2950";"5655"
2899;"Donnelley Financial Solutions, Inc. (DFIN)";"9700";"59100";"104300";"57400"
2900;"Anika Therapeutics, Inc. (ANIK)";"31816";"32547";"30758";"38319"
2901;"Frontier Communications Corporation (FTR)";"-1804000";"-373000";"-196000";"133000"
2902;"Old Line Bancshares, Inc. (OLBK)";"15963.814";"13155.097";"10468.586";"7130.3"
2903;"RYB Education, Inc. (RYB)";"7115";"6505";"-632";"-1975"
2904;"FRP Holdings, Inc. (FRPH)";"41750";"6233";"12024";"8272"
2905;"Adams Natural Resources Fund, Inc. (PEO)";"13704.527";"125442.523";"-148466.988";"-72537.679"
2906;"PennantPark Floating Rate Capital Ltd. (PFLT)";"36325.28";"33488.663";"12504.245";"20513.971"
2907;"William Lyon Homes (WLH)";"48135";"59696";"57336";"44625"
2908;"Martin Midstream Partners L.P. (MMLP)";"16792";"23233";"22042";"-15208"
2909;"Ciner Resources LP (CINR)";"41600";"41400";"51500";"44500"
2910;"PennyMac Financial Services, Inc. (PFSI)";"100757";"66079";"47228";"36842"
2911;"America's Car-Mart, Inc. (CRMT)";"36509";"20205";"11596";"29490"
2912;"U.S. Concrete, Inc. (USCR)";"25512";"8861";"-5414";"20582"
2913;"The Cato Corporation (CATO)";"8540";"47212";"66842";"60502"
2914;"ChipMOS TECHNOLOGIES INC. (IMOS)";"2796882";"1401210";"1838895";"3214183"
2915;"New Gold Inc. (NGD)";"-108000";"-7000";"-201400";"-477100"
2916;"HomeTrust Bancshares, Inc. (HTBI)";"8235";"11847";"11456";"8025"
2917;"AG Mortgage Investment Trust, Inc. (MITT)";"118557.61";"63682.771";"13818.537";"109395.568"
2918;"e.l.f. Beauty, Inc. (ELF)";"33475";"5313";"4357";"-8193"
2919;"Waterstone Financial, Inc. (WSBF)";"25964";"25532";"16570";"12732"
2920;"Clough Global Opportunities Fund (GLO)";"107779.626";"-35934.349";"182.14";"8873.067"
2921;"PennantPark Investment Corporation (PNNT)";"61711.501";"18736.706";"-10245.652";"110983.477"
2922;"DryShips Inc. (DRYS)";"-42544";"-198686";"-2847061";"-47512"
2923;"Kimball Electronics, Inc. (KE)";"16752";"34179";"22287";"26205"
2924;"Essendant Inc. (ESND)";"-266981";"63852";"-44342";"112115"
2925;"Barings BDC, Inc. (BBDC)";"-28650.461";"34256.432";"47857.252";"28362.448"
2926;"Eagle Point Credit Company Inc. (ECCB)";"31130.956";"90580.063";"-40957.892";"8344.426"
2927;"Blue Bird Corporation (BLBD)";"28801";"6900";"14932";"2757"
2928;"One Liberty Properties, Inc. (OLP)";"24147";"24422";"20517";"22116"
2929;"Everi Holdings Inc. (EVRI)";"-51903";"-249479";"-104972";"12140"
2930;"Atento S.A. (ATTO)";"-16790";"65";"49148";"-42152"
2931;"Harmonic Inc. (HLIT)";"-82955";"-72314";"-15661";"-46248"
2932;"Scorpio Bulkers Inc. (SALT)";"-59726";"-124835";"-510789";"-116565"
